RequiredQual,JobDescription,JobRequirment,Title,Combined
"- University degree in Jurisprudence.
- Experience in working with international organizations, banks and
MFOs. 
- Knowledge of banking, court, labor, tax and other relevant laws. 
- Excellent knowledge of Armenian and Russian. English language skills","UMCOR (United Methodist Committee On Relief) Armenia
announces the following vacancy for its AREGAK micro credit program:","- Review, digest and advise on legislative developments and their
possible impact on the activities of AREGAK micro credit program. 
- Review and advise on the legal aspects of lending polices and
procedures. 
- Drafting of standard and none-standard ",Lawyer,"- University degree in Jurisprudence. - Experience in working with international organizations, banks and MFOs.  - Knowledge of banking, court, labor, tax and other relevant laws.  - Excellent knowledge of Armenian and Russian. English language skills wil"
"- University Degree in public administration, political science, law,
education, social science or any development related studies 
- At least 3 years of work experience at managerial level with
international or non-governmental organization 
- Experi","The Foundation Internews Georgia is seeking a
qualified candidate for the full time position of Project Manager.","- Manage and enhance implementation of the projects 
- Prepare monthly and/or quarterly programmatic reports in agreement
with Funders and upon their requirements 
- Identify and develop news project/program proposals for donor/client
funded activitie",Project Manager,"- University Degree in public administration, political science, law, education, social science or any development related studies  - At least 3 years of work experience at managerial level with international or non-governmental organization  - Experience"
"- Degree in Computer Science, Information Technology or related
discipline (Bachelor's Degree in the relevant field required, Master's
Degree preferred); 
- At least 3 years of successful experience in software development;
- Extensive development exp","The responsibilities of this position are focused on
core software development tasks in Synergy International Systems, Inc.
Synergy's main focus is on developing integrated Web Database and Web
Portal systems. 
This position will be filled by a software developer with a proven
history of producing quality software product in a commercial setting.
Experience in a dynamic workplace with solid software developing
practice is required. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process; including design, implementation, testing and delivery.","Specific tasks and key responsibilities include
but are not limited to:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products.",Software Developer,"- Degree in Computer Science, Information Technology or related discipline (Bachelor's Degree in the relevant field required, Master's Degree preferred);  - At least 3 years of successful experience in software development; - Extensive development experie"
"- At least 5 years experience of IT project management with 5-person and
larger teams 
- At least 2-year experience of working in Internet related projects
(with successful track records) 
- Experience of working with different software development me","Project Manager is mainly a project management
administration position. The person follows up progress of the team(s)
in various projects and does planning together with the architect. This
role requires problem-solving attitude.","- Plan and follow up on our projects 
- Report progress, risks and deviations from the plan 
- Coach the team 
- Communication with the product group (international communication) 
- Work together with system architecture to ensure quality of project",Project Manager,- At least 5 years experience of IT project management with 5-person and larger teams  - At least 2-year experience of working in Internet related projects (with successful track records)  - Experience of working with different software development method
"The successful candidate will possess the
following qualifications, skills and competences:
- Relevant degree and experience in accounting. Education/experience
must include bank reconciliations, journal writing, general ledger,
financial statements, and government tax reports. 
- Knowledge of accounting theory and financial analysis 
- Excellent English and Armenian language skills
- Strong communication and interpersonal skills
- Computer literacy
- Experience in financial reporting is preferred. 
We expect the successful applicant to show  honesty and commitment to
World Vision Christian principals.","To assist in maintaining financial records by
preparing accounting reports and statements, reconciling accounts, and
processing/reviewing journal entries and vouchers.","- Handle monthly reconciliations of the specified bank accounts.
- Liaise with International and Support offices in regard to
reconciliations.
- Assist the Senior Accountant in preparation/extraction of monthly
financial accounts, including computer d",Accountant,"The successful candidate will possess the following qualifications, skills and competences: - Relevant degree and experience in accounting. Education/experience must include bank reconciliations, journal writing, general ledger, financial statements, and government tax reports.  - Knowledge of accounting theory and financial analysis  - Excellent English and Armenian language skills - Strong communication and interpersonal skills - Computer literacy - Experience in financial reporting is preferred.  We expect the successful applicant to show  honesty and commitment to World Vision Christian principals.To assist in maintaining financial records by preparing accounting reports and statements, reconciling accounts, and processing/reviewing journal entries and vouchers.- Handle monthly reconciliations of the specified bank accounts. - Liaise with International and Support offices in regard to reconciliations. - Assist the Senior Accountant in preparation/extraction of monthly financial accounts, including computer data entry, preparation of support schedules, etc. - Prepare regular entries to the journal. - Approve coding on all vouchers prepared by staff for valid account/cost renter/donor combinations and advise necessary adjustments to originator. - Research expenditure variances and prepare correcting journals as required. - Prepare regular internal accounting reports for management within Finance. - Assist in the preparation of budgets. - Supervise the work of accounting clerks. - Handle complex accounts payable/expenditure accounts."
"- University degree in Economics and related fields.
- Fluent knowledge of Armenian, Russian, English and Persian.
- Knowledge of computer literacy.
- At least 5 years working experience in related fields.","We are seeking a Marketing Specialist having work
experience in related fields.","- To get acquainted with local and international tire and rubber goods
market.
- To represent the correspondent product to the local and international
market.
- To participate in different kinds of expositions.
- To search partners and be in contacts",Marketing Specialist,"- University degree in Economics and related fields. - Fluent knowledge of Armenian, Russian, English and Persian. - Knowledge of computer literacy. - At least 5 years working experience in related fields.We are seeking a Marketing Specialist having work "
"Applicants should have exposure to and
previous experience with:
- programming languages: C, Perl (or Ruby, Python), and Java (or C#) 
- data processing technologies: XML, relational databases.
We are particularly interested in candidates with experience in Oracle,
DBMS application programming, J2EE architecture and applications
development, and .NET Framework-based technologies.","The position assumes participation in the full
development and deployment cycle of software products and solutions
developed by the company in collaboration with RenderX, Inc.","We expect a successful candidate to be able to 
- design and develop software products,
- create programs for heterogeneous environments (MS Windows, Unix),
communicating by means of network protocols
- author and maintain internal and end-user documentation.",Software Developer,"Applicants should have exposure to and previous experience with: - programming languages: C, Perl (or Ruby, Python), and Java (or C#)  - data processing technologies: XML, relational databases. We are particularly interested in candidates with experience in Oracle, DBMS application programming, J2EE architecture and applications development, and .NET Framework-based technologies.The position assumes participation in the full development and deployment cycle of software products and solutions developed by the company in collaboration with RenderX, Inc.We expect a successful candidate to be able to  - design and develop software products, - create programs for heterogeneous environments (MS Windows, Unix), communicating by means of network protocols - author and maintain internal and end-user documentation."
"- Excellent oral and written communication skills in  Armenian, English
and Russian languages. 
- Demonstrated creative thinking and imagination, innovation and
initiative. 
- Strong negotiation and interpersonal skills. 
- Team player. 
- Good time","The incumbent will be primarily involved in
development of marketing plan for current and upcoming projects of the
organization and promote the solid name of the organization in Armenia
and abroad through marketing activities supported by the positions
indicated skills.","Responsibilities include but are not limited to
the following:
- Develop a comprehensive membership system and  introduce to potential
members.
- Draft strategic initiatives for the Marketing and Communications
activities. 
- Identify new fundraising opportunities within Armenia and outside the
country.
- Develop and maintain good relationships with potential donors within
Armenia and outside the country. 
- Develop a methodology to run marketing surveys for future fundraising
opportunities in Armenia and abroad; facilitate marketing survey. 
- Develop cost-effective fundraising activities.
- Develop annual marketing reports and present it to the Career Center
staff. 
- Develop and coordinate the production of all print materials relating
to the Career Center.
- Perform other related duties as assigned by President of the company.",Marketing Manager,"- Excellent oral and written communication skills in  Armenian, English and Russian languages.  - Demonstrated creative thinking and imagination, innovation and initiative.  - Strong negotiation and interpersonal skills.  - Team player.  - Good time manag"
"- Higher education in corresponding field.
- Relevant work experience, preferably with international
organisations.
- Excellent knowledge of English.
- Good computer skills.
- Strong communication skills and high level of motivation.
- Flexibility t","The incumbent, under supervision of the Mission Administrator, will
carry out administrative activities.","- Preparation of various administrative documents, such as contracts,
orders, letters etc.
- Follow up and recording employees leaves and presence sheets.
- Calculation of salaries and submitting them to financial department.
- Management of administr",Administrative Assistant,#NAME?
"- Must have Bachelors degree or higher
- Must have experience in XML, XSL, HTML, DHTML, Photoshop, Corel,Flash,
JavaScript, CSS, SQL, PHP/My SQL, Perl, Macromedia Dreamweaver
- Must have Experience in Apache 1.3 or higher
- Must have experience in uni","Project Harmony, an innovate, non-profit organization
that builds strong communities by fostering civic leadership, harnessing
internet technology, and facilitating cross-cultural experiential
learning, is currently accepting applications for positions within the
Armenia School Connectivity Programs, a high profile secondary school
technology in education programs of the US Department of State, Bureau
of Educational and Cultural Affairs and the ZANG Armenian Legal
Socialization Project, a unique project that brings together educators
and law enforcement officials to create lessons in legal socialization
that will be piloted in the secondary schools throughout Armenia.","WEB sites creation, programming, organization and
maintenance.
PHP/MySQL Data base creation, programming and maintenance, School's WEB
sites administration and consultations.
Interactive on-line space creation, administration and maintenance, WEB
training and Consultation.",Web Developer,"- Must have Bachelors degree or higher - Must have experience in XML, XSL, HTML, DHTML, Photoshop, Corel,Flash, JavaScript, CSS, SQL, PHP/My SQL, Perl, Macromedia Dreamweaver - Must have Experience in Apache 1.3 or higher - Must have experience in unix/li"
"- University digree.
- Previous work experience with similar responsibilities.
- Excellent written and spoken Armenian.
- Excellent written and spoken English.
- Excellent knowledge of Russian also preferred.
- Ability to work with MS Word and Excel.","We are seeking applicants for the position of Office
Manager. The job requires highly responsible individuals who will have
responsibility for the daily operations of the entire office.","- Show up on time to open the office for other employees.
- Mild-moderate translation to/from English.
- Answer telephone calls/email/mail.
- Maintain office decor and communicate any problems with management on
a timely manner.
- Occasional errands ",Office Manager,- University digree. - Previous work experience with similar responsibilities. - Excellent written and spoken Armenian. - Excellent written and spoken English. - Excellent knowledge of Russian also preferred. - Ability to work with MS Word and Excel. - St
"- university degree in Economics / Finance / Accounting;
- professional qualification certificate issued by the Ministry of
Finance of the Republic of Armenia is desirable; 
- ACCA degree is desirable;
- at least  3-year experience as Accountant in NG","ESDF currently seeks to fill the position of part-time
Accountant. This position reports directly to the Executive Director.","- keep complete accounting of the Foundation;
- prepare financial reports to donors;
- other duties as assigned/needed.",Accountant,- university degree in Economics / Finance / Accounting; - professional qualification certificate issued by the Ministry of Finance of the Republic of Armenia is desirable;  - ACCA degree is desirable; - at least  3-year experience as Accountant in NGO se
"- Higher education in Economics/Finance (advanced degree is preferable);
- 3 years of prior experience in a Accountant or equivalent finance
position; 
- English and Armenian language proficiency; basic computer skills,
including MsWord and MsExcel an","The role of Accountant is to provide a comprehensive
and professional finance management service to the newly registered NGO
BEM, including daily accounting, reporting and some supervision of the
staff","- Budget planning and monitoring
- Accounting related documentation maintenance
- Preparation of financial reports, including reporting to the ""BEM""
donors, as well as local tax authorities
- Bank accounts management, including payments and bank check",Accountant,"- Higher education in Economics/Finance (advanced degree is preferable); - 3 years of prior experience in a Accountant or equivalent finance position;  - English and Armenian language proficiency; basic computer skills, including MsWord and MsExcel and kn"
"- University degree in relevant fields (journalism, political sciences,
or public relations);
- Fluency in spoken and written Georgian, English and Russian;
- 3 years working experience in the field;
- Strong presentation, communication and interperso","International Society for Fair Elections and Democracy
(ISFED) announces vacancy for the full-time position of Project Manager.","- Lead and coordinate the organization's relations with mass media,
other NGOs, state institutions and general public;
- Organize meetings, briefings and press conferences;
- Draft press releases;
- Edit and prepare materials for the organization's we",Project Manager,"- University degree in relevant fields (journalism, political sciences, or public relations); - Fluency in spoken and written Georgian, English and Russian; - 3 years working experience in the field; - Strong presentation, communication and interpersonal "
"- Relevant university degree Yerevan State University or State
Engineering University of Armenia.
- Good skills in both English and Armenian languages; 
- Good knowledge of computers;
- Excellent communication skills;
- Team worker;
- Previous exper",Creating and developing software products for Network.,"- Excellent knowledge of Object Oriented programming and design.
- Excellent knowledge of Java (JSP, Servlet, Swing, JDBC, RMI).
- 4+ years programming experience.
- Good knowledge of HTML, JavaScript, PHP, XML.
- Relational Databases (Oracle, SQL and",Java Developer,- Relevant university degree Yerevan State University or State Engineering University of Armenia. - Good skills in both English and Armenian languages;  - Good knowledge of computers; - Excellent communication skills; - Team worker; - Previous experience 
"- Strong knowledge of PHP, MySQL, HTML, Javascript, XML/XSL. Knowledge
of data structures, algorithms and database concepts is a plus. 
- Perl programming language knowledge is desirable. 
- Minimum 2 years experience in relevant field 
- Good knowled","Xalt LLC is seeking for a motivated and experienced
Web Developer who will develop new and support existing websites created
by the company, evaluate solutions, create detailed system requirement
specifications as well as system design and functional specifications.","- Scripting, web programming, HTML coding 
- Designing website functionality
- Writing high quality code based on implementation specification
- Effective programming in UNIX/Linux environment
- Participating in web applications design and development",Web Developer,"- Strong knowledge of PHP, MySQL, HTML, Javascript, XML/XSL. Knowledge of data structures, algorithms and database concepts is a plus.  - Perl programming language knowledge is desirable.  - Minimum 2 years experience in relevant field  - Good knowledge o"
"- Higher Education;
- Excellent oral and writing skills in Armenian, Russian and English;
- Good working knowledge of computer applications (MS Windows, MS
Office, graphics and spreadsheet software packages);
- Progressive work experience in similar p","The Administrative Assistent will be responsible for
the company's general office works.","- Preparation of documents for signature;
- Translation of letters and different documents from Armenian/Russian
into English and vise versa;
- Scheduling appointments, meetings and conferences, receiving telephone
calls.",Administrative Assistant,"- Higher Education; - Excellent oral and writing skills in Armenian, Russian and English; - Good working knowledge of computer applications (MS Windows, MS Office, graphics and spreadsheet software packages); - Progressive work experience in similar posit"
"- Minimum 2 years experience in relevant field; 
- Good knowledge of English;
- Team oriented, organized, initiative; 
- Willing to learn new skills;
- Positive attitude.","Xalt LLC is seeking for a motivated and experienced
Web Developer who will develop new and support existing websites created
by the company, evaluate solutions, create detailed system requirement
specifications as well as system design and functional specifications.","The successful candidate is required to have
strong knowledge of PHP, MySQL, HTML, Javascript, XML/XSL. Knowledge of
data structures, algorithms and database concepts is a plus. Perl
programming language knowledge is desirable. 
- Scripting, web programming, HTML coding; 
- Designing website functionality;
- Writing high quality code based on implementation specification;
- Effective programming in UNIX/Linux environment;
- Participating in web applications design and development and updating
the existing websites.",Web Developer,"- Minimum 2 years experience in relevant field;  - Good knowledge of English; - Team oriented, organized, initiative;  - Willing to learn new skills; - Positive attitude.Xalt LLC is seeking for a motivated and experienced Web Developer who will develop ne"
"- Minimum 2 years experience in relevant field;
- Good knowledge of English;
- Team oriented, organized, initiative;
- Willing to learn new skills;
- Positive attitude.","Xalt LLC is seeking for a motivated and experienced
Web Developer who will develop new and support existing websites 
created by the company, evaluate solutions, create detailed system 
requirement specifications as well as system design and functional
specifications.","- The successful candidate is required to have strong knowledge of PHP,
MySQL, HTML, Javascript, XML/XSL. Knowledge of data structures,
algorithms and database concepts is a plus. Perl programming language
knowledge is desirable;
- Scripting, web prog",Web Developer,"- Minimum 2 years experience in relevant field; - Good knowledge of English; - Team oriented, organized, initiative; - Willing to learn new skills; - Positive attitude.Xalt LLC is seeking for a motivated and experienced Web Developer who will develop new "
"- State diploma of higher education; 
- Excellent knowledge of oral and written Armenian, English and Russian,
knowledge of other foreign language (French or German) is desirable;
- Experience in operating office equipment;
- Good computer skills (MS ","We are currently seeking candidates to fill the
position of the Office Manager who will carry out day-to-day office
activities.","- Process, register and file correspondence;
- Translat/interpret (texts and negotiations);
- Draft letters;
- Participate in preparation of advertising materials of the company and
promottion through Internet and other means.",Office Manager,"- State diploma of higher education;  - Excellent knowledge of oral and written Armenian, English and Russian, knowledge of other foreign language (French or German) is desirable; - Experience in operating office equipment; - Good computer skills (MS Offi"
"- Relevant university degree; 
- Relevant work experience; 
- Fluency in Armenian, English & Russian languages;
- Self-motivated, ability to work within deadlines, well-organized; 
- Experience in operating office equipment and good computer skills.","The Administrative Assistant will provide high-level
secretarial and administrative support to the Director on a variety of
confidential and important activities.","- Maintain Director's calendar, establish priorities at own discretion.
- Arrange meetings, invitations, engagements and other appointments on
behalf of the Director, make all arrangements for Director's travel. 
- Draft letters for the Director's revi",Administrative Assistant,"- Relevant university degree;  - Relevant work experience;  - Fluency in Armenian, English & Russian languages; - Self-motivated, ability to work within deadlines, well-organized;  - Experience in operating office equipment and good computer skills.The Ad"
"Professional skills:
- Advanced knowledge of OOP;
- Professional work experience in projects as a Java-developer in J2EE
(JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year;
- Professional work experience in the development of multi-layered
client-server applications, client and server Web application
components;
- Professional work experience in Oracle and MS SQL databases;
- Experience in IBM WebSphere, WebLogic, JBoss, JRun;
- Ability to develop quality code, apply proper language constructions,
and use quality algorithms;
- Willingness  to increase your competencies and professionalism;
- Ability to identify problems on the fly, separate joint moments;
- Basic knowledge of English language.
Desired qualifications:
- Ability to responsibly complete assigned tasks according to
deadlines;
- Highly productive: ability to work under pressure, adapt to dynamic
business environment, make decisions and take responsibility;
- Energetic, capable of being a team leader;
- Ability to appropriately make decisions on issues of different
complexity for areas of responsibility;
- Ability to express your thoughts clearly.","A leading American software development company is
actively looking for Java developers for complex and long-term projects.
The position entails working with Sun and IBM products, portal solutions,
the latest Java technologies, and Documentum products  the world leader
in EDMS solutions. The projects will deal with large, well-known
customers.","- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects.",Java Developer,"Professional skills: - Advanced knowledge of OOP; - Professional work experience in projects as a Java-developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year; - Professional work experience in the development of multi-layered client-server applications, client and server Web application components; - Professional work experience in Oracle and MS SQL databases; - Experience in IBM WebSphere, WebLogic, JBoss, JRun; - Ability to develop quality code, apply proper language constructions, and use quality algorithms; - Willingness  to increase your competencies and professionalism; - Ability to identify problems on the fly, separate joint moments; - Basic knowledge of English language. Desired qualifications: - Ability to responsibly complete assigned tasks according to deadlines; - Highly productive: ability to work under pressure, adapt to dynamic business environment, make decisions and take responsibility; - Energetic, capable of being a team leader; - Ability to appropriately make decisions on issues of different complexity for areas of responsibility; - Ability to express your thoughts clearly.A leading American software development company is actively looking for Java developers for complex and long-term projects. The position entails working with Sun and IBM products, portal solutions, the latest Java technologies, and Documentum products  the world leader in EDMS solutions. The projects will deal with large, well-known customers.- Software development according to requirements; - Complete work according to deadlines; - Follow the team rules working on projects."
